epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5123.73,0.93506,0.60908,1.19462,0.90551,0.80307,0.87111,0.56209,0.95576,0.60316,1.19238,0.000142342,0.000142342,0.000142342
81,5197.03,0.93219,0.61163,1.1918,0.8727,0.82704,0.855,0.55733,0.95104,0.60884,1.19374,0.000130671,0.000130671,0.000130671
82,5267.46,0.91812,0.59937,1.18345,0.87823,0.82271,0.85693,0.55962,0.97688,0.61484,1.20746,0.000119494,0.000119494,0.000119494
83,5337.41,0.92587,0.60104,1.18338,0.92823,0.78144,0.86694,0.55598,0.95708,0.6146,1.19249,0.000108822,0.000108822,0.000108822
84,5407.74,0.90217,0.59835,1.17517,0.9193,0.78316,0.84745,0.55104,0.95819,0.60625,1.19497,9.86659e-05,9.86659e-05,9.86659e-05
85,5479.54,0.91803,0.60018,1.19489,0.89471,0.82663,0.85766,0.55843,0.94943,0.6035,1.19326,8.90352e-05,8.90352e-05,8.90352e-05
86,5622.42,0.81839,0.47677,1.13461,0.9066,0.80108,0.86109,0.54284,0.97663,0.61444,1.21518,7.99397e-05,7.99397e-05,7.99397e-05
87,5702.61,0.82142,0.46626,1.13238,0.88937,0.82379,0.86182,0.55094,0.95955,0.60252,1.20505,7.13883e-05,7.13883e-05,7.13883e-05
88,5790.89,0.80523,0.4619,1.12726,0.91067,0.82197,0.85552,0.55228,0.96365,0.61154,1.20213,6.33893e-05,6.33893e-05,6.33893e-05
89,5876.52,0.80596,0.46624,1.12651,0.91314,0.82054,0.86122,0.55396,0.95475,0.60008,1.20263,5.59508e-05,5.59508e-05,5.59508e-05
90,5955.53,0.80478,0.45738,1.12172,0.92925,0.81844,0.8681,0.55443,0.95455,0.603,1.20287,4.908e-05,4.908e-05,4.908e-05
91,6029.95,0.80297,0.45922,1.12362,0.92785,0.81679,0.86845,0.55411,0.95673,0.59441,1.20556,4.27838e-05,4.27838e-05,4.27838e-05
92,6106.99,0.80366,0.45875,1.12287,0.92217,0.80721,0.86563,0.55515,0.94408,0.59903,1.19864,3.70683e-05,3.70683e-05,3.70683e-05
93,6182.71,0.79182,0.45634,1.1176,0.92496,0.80396,0.86292,0.55637,0.96187,0.59823,1.19978,3.19392e-05,3.19392e-05,3.19392e-05
94,6258.38,0.79015,0.44529,1.11042,0.92929,0.80682,0.8625,0.55433,0.94514,0.59893,1.19639,2.74015e-05,2.74015e-05,2.74015e-05
95,6324.11,0.79308,0.45172,1.11402,0.92699,0.81163,0.86503,0.55728,0.95651,0.60309,1.20076,2.34598e-05,2.34598e-05,2.34598e-05
96,6392.84,0.79184,0.45025,1.11234,0.9262,0.80682,0.86354,0.55434,0.95967,0.60358,1.19942,2.01178e-05,2.01178e-05,2.01178e-05
97,6452.79,0.79166,0.45066,1.1146,0.91289,0.81576,0.86489,0.55236,0.95081,0.60302,1.19677,1.7379e-05,1.7379e-05,1.7379e-05
98,6524.03,0.78007,0.45762,1.10785,0.92106,0.81194,0.86833,0.55387,0.95823,0.6007,1.20032,1.5246e-05,1.5246e-05,1.5246e-05
99,6594.39,0.77553,0.4434,1.10361,0.93362,0.81036,0.86857,0.55767,0.95436,0.59856,1.19863,1.3721e-05,1.3721e-05,1.3721e-05
100,6664.18,0.78303,0.44869,1.12226,0.92817,0.8112,0.86868,0.55645,0.94979,0.60545,1.19752,1.28053e-05,1.28053e-05,1.28053e-05
