epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7140.12,1.0225,0.71618,1.25929,0.86877,0.80229,0.85201,0.54839,1.00602,0.63677,1.22423,0.000385515,0.000385515,0.000385515
65,7236.98,1.02735,0.71411,1.26051,0.89942,0.77926,0.83783,0.53046,1.04114,0.62914,1.2305,0.000367799,0.000367799,0.000367799
66,7337.34,1.02416,0.71522,1.25898,0.89051,0.79463,0.8487,0.5344,1.0582,0.63654,1.23464,0.000350343,0.000350343,0.000350343
67,7438.67,1.0071,0.7064,1.25407,0.86646,0.80486,0.85374,0.54,1.05361,0.63576,1.22151,0.000333165,0.000333165,0.000333165
68,7546.54,1.01874,0.69106,1.25418,0.87519,0.82286,0.86251,0.54048,1.05396,0.65164,1.24107,0.000316281,0.000316281,0.000316281
69,7644.14,1.0043,0.68443,1.24246,0.87254,0.80215,0.8569,0.55149,0.98506,0.62413,1.19596,0.000299707,0.000299707,0.000299707
70,7749.17,1.01871,0.69445,1.24815,0.89766,0.7784,0.83912,0.53743,0.97265,0.63732,1.21355,0.000283461,0.000283461,0.000283461
71,7846.42,0.98434,0.66744,1.23298,0.89993,0.82329,0.86884,0.55223,0.98572,0.6259,1.20694,0.000267558,0.000267558,0.000267558
72,7946.81,0.9949,0.67867,1.23744,0.8594,0.8067,0.84024,0.54636,1.00995,0.62906,1.20613,0.000252014,0.000252014,0.000252014
73,8049.79,0.9853,0.66949,1.23079,0.86394,0.83525,0.86191,0.55498,1.00292,0.59928,1.21634,0.000236844,0.000236844,0.000236844
74,8147.93,0.98662,0.66879,1.23684,0.89787,0.79159,0.85897,0.5497,0.97829,0.62166,1.22552,0.000222063,0.000222063,0.000222063
75,8244.69,0.98271,0.66978,1.23031,0.88422,0.83004,0.86899,0.55213,1.00814,0.61319,1.21876,0.000207686,0.000207686,0.000207686
76,8342.61,0.98053,0.65443,1.23113,0.8486,0.83214,0.86796,0.55271,1.00574,0.61976,1.22025,0.000193728,0.000193728,0.000193728
77,8440.8,0.96994,0.6457,1.22172,0.87195,0.80832,0.85546,0.54252,0.98211,0.61023,1.2041,0.000180201,0.000180201,0.000180201
78,8539.48,0.9556,0.64493,1.22172,0.86203,0.81147,0.86016,0.55981,0.96011,0.61518,1.20231,0.000167119,0.000167119,0.000167119
79,8643.91,0.95281,0.63527,1.20872,0.86357,0.79806,0.84252,0.54886,0.97181,0.61797,1.19778,0.000154495,0.000154495,0.000154495
80,8743.01,0.95302,0.6363,1.21617,0.87006,0.8016,0.85286,0.5616,0.96684,0.61684,1.20198,0.000142342,0.000142342,0.000142342
81,8841.64,0.9602,0.64098,1.21682,0.87414,0.82234,0.87058,0.56559,0.92542,0.59901,1.19239,0.000130671,0.000130671,0.000130671
82,8939.44,0.95257,0.62814,1.206,0.84496,0.82506,0.85202,0.55288,0.96269,0.61627,1.20995,0.000119494,0.000119494,0.000119494
83,9036.65,0.94649,0.64121,1.21831,0.85777,0.80973,0.8493,0.55801,0.9452,0.60431,1.19422,0.000108822,0.000108822,0.000108822
84,9135.59,0.94405,0.63879,1.21274,0.87559,0.81454,0.8531,0.55571,0.95416,0.60424,1.19901,9.86659e-05,9.86659e-05,9.86659e-05
85,9237.06,0.94426,0.63425,1.20908,0.88725,0.82166,0.85595,0.55042,0.96779,0.60937,1.1957,8.90352e-05,8.90352e-05,8.90352e-05
86,9373.17,0.84387,0.51146,1.15419,0.86073,0.78087,0.84657,0.55415,0.93666,0.60415,1.19319,7.99397e-05,7.99397e-05,7.99397e-05
87,9470.08,0.84665,0.49693,1.16007,0.87367,0.76884,0.83797,0.55124,0.95902,0.61351,1.19987,7.13883e-05,7.13883e-05,7.13883e-05
88,9567.22,0.83422,0.4908,1.15193,0.83421,0.83047,0.84385,0.55522,0.93863,0.60983,1.2,6.33893e-05,6.33893e-05,6.33893e-05
89,9664.52,0.81693,0.48709,1.14592,0.86123,0.80037,0.84923,0.55604,0.94077,0.61309,1.19451,5.59508e-05,5.59508e-05,5.59508e-05
90,9762.13,0.82594,0.4927,1.14704,0.89717,0.76686,0.8334,0.54622,0.92923,0.61736,1.19499,4.908e-05,4.908e-05,4.908e-05
91,9872.36,0.82412,0.48788,1.15574,0.82837,0.82004,0.83455,0.55027,0.93742,0.61431,1.1949,4.27838e-05,4.27838e-05,4.27838e-05
92,9994.93,0.83299,0.49053,1.1499,0.82939,0.82624,0.83481,0.55197,0.94486,0.62225,1.19925,3.70683e-05,3.70683e-05,3.70683e-05
93,10092,0.82402,0.48448,1.14584,0.8337,0.82869,0.83804,0.55315,0.94827,0.61583,1.19736,3.19392e-05,3.19392e-05,3.19392e-05
94,10188.7,0.82305,0.482,1.14261,0.83887,0.82872,0.84018,0.54962,0.94803,0.61485,1.20114,2.74015e-05,2.74015e-05,2.74015e-05
95,10284.9,0.81877,0.47721,1.13551,0.8557,0.79702,0.83481,0.55244,0.93197,0.6136,1.19747,2.34598e-05,2.34598e-05,2.34598e-05
96,10381.8,0.82772,0.48291,1.14613,0.87178,0.80288,0.83759,0.54804,0.93706,0.61123,1.19677,2.01178e-05,2.01178e-05,2.01178e-05
97,10487.2,0.80232,0.4723,1.13767,0.87145,0.80562,0.84345,0.55079,0.93438,0.61019,1.19838,1.7379e-05,1.7379e-05,1.7379e-05
98,10584.1,0.81389,0.47384,1.13746,0.84243,0.83168,0.84483,0.54902,0.94283,0.61061,1.19979,1.5246e-05,1.5246e-05,1.5246e-05
99,10681.5,0.8141,0.47214,1.13458,0.84049,0.83168,0.84763,0.54986,0.94131,0.61104,1.20117,1.3721e-05,1.3721e-05,1.3721e-05
100,10779.2,0.81414,0.47931,1.13512,0.83117,0.83075,0.8432,0.55091,0.93769,0.61322,1.1988,1.28053e-05,1.28053e-05,1.28053e-05
